text,label
olha cheg queridinh vem dir fem 1015 masc 2540 qqmt tcojivoqeuq,0
vei umas teor louc cab agor pqp to assust,1
nao fal ontem ia patrocin nad pud viol moral faml brasileir,0
quer filh put log comig 50x pior k fic sapatinh,1
vai best casqu ultim fot,1
sei oq chocant botafoguens botafoguens fal torc grandez,1
pois man cois chat porr,0
odei sent dio algum pq t trs porr tel celul poss met soc fua,1
ganh rasp cab tcoucfwfabm sorteiochipart,0
vlw man tmj,0
mulh mulh discut hom brig t fei deix pra pass fom vctediobailedoegit,0
bich fic put dem,0
dev pes chor faz part ritual cur s vez,0
to put so quer prioridad vid algu ness caralh fds msm imagin outr,1
lembr prol tmid quiet cri monstr,0
put merd saudad jog midnight club 3,1
voc eh frac stuart lir falt lept lepist lesot lepect doen rat tcosi4uzsstaz,0
vai ferr af desgra perfeit amo gostos vid,0
blz perd onibus k vsf,1
h mistri h anos desd cria ministri pesc esplan brasl quas 40 mil pescador receb segurodefes pag govern,0
certez vai mo taylor mto inteligent,0
boc fech pros plan dar cert,0
tambm amg incomod mat atlntic bucet,1
nao sei pra mim tod japon comun burr cois q pai ensin kk,1
deus s fez magr pq sab q fiz iri grand vad,1
possvel vai vir porr jog,0
hor compr celul quer plus quer grand amo celul grand anos compr celul grand cois grand caralh merd,1
gost cervej geladinh aberra tco7sfumeokjq,1
privac pra fic trist paz vtnc,0
v mant assim pq outr pesso nad ver pq d vontad porr cuza caralh,1
horri dest ano igual ano pass vou morr mm,0
curitib t fri cara,1
vai sonh filh put,1
escurinh favel,0
amo isabel kdkndhenwjwnwhaj tcoqlmpmw0bqj,0
rio janeir sempr respir flameng precis ofeg doming aps porr etern fregus rec vam vir meng estvam ped sim avis entend risc val dem leitur tcoeo9kuc3ilv,0
kakakak malcon negoc rom j dad cert itli ltim hor jogador deix assin rom pra ir pro barcelon dand chapu club italian desd ento amad rom kakakakk zenit cornet kakakkakak,0
quatrocent tweets falt pouc paulinh fab,0
caralh sent var mes,0
retard lev biolog considera,1
ador put mar viv respond,1
k n porr mulh outr mund boa,0
lowkey so acho q liberdad ia faz confus k cm q vcs cheg cas dps 8 noit qd q vcs jant tcoswqxr365r4,0
fei engra tcoqb8svpgdih,0
vez d vontad sab j aceit q n vai acontec k,0
tav lind ontempqp,1
babac arrog acha ltim palavr direit vsfder tcodasl7caau3,1
bolsonar surfistinh,0
quer nud alma s fot pau,1
morr saudad,0
pen mort j lix assassin confess gast dinheir gent sim desperdci pag cont exist direit human pesso assim bolsominion porr,1
s quer pens muit cois,0
porr chegu sv merd fi k,1
amig assim j peg tod k mpn nowunited tcohlvdzauvt,0
her vegetarian outr patam,0
saudad amig seedorf,0
realment pens diss professor sad transport publicosd cgtpetcagor grev privadosn toc j idadem aqu vai pro caralh,1
fic put vej cois namoral,1
car 30 anos fez nad relev vai dar jeit pas nunc,0
t errad,0
deus at richard,0
pox quer engol pau jungkook inteirinh,1
azul linh are amig precis patrocini gring precis algu valoriz club pas,0
nunc fiqu to trist vid pqp emocion dem acostum esper tud,0
orra j acord estress vsf,0
odei liga viv pqp q pertuba,1
t sent saudad caralh voc,0
limp tod merd,0
pra mim t clar dar canet sei pra vocs,0
shawn mend eh homofob pq ja deix clar eh gay cancel aberra,1
bolsonar ving glob folh so paul lix,1
s pq nasc fei,0
caralhoq gat,0
lul t pres babac,1
lol calh q q acalm antes respond q diss to n difcil encontr pesso qm assim q q pass ferr desd mid mts amig idd n sab aprend 30,0
esculach net escrot crebr,1
man amo sair n frescur n fic car fei sup fech cmg karen bia so dess,0
tag est sempr atual stfvergonhanacional,0
eit cara nao moss k,1
ucrni autor desrespeit institui liturg carg esquec tod pod eman pov apen exerc pod outorg pov temp limit result pov coloc ping is lat lix literal,0
deus fic espant q parec q jornal faz mnim,1
diss valh nad noit vem fud comig,1
desgovern destrui escond dad send engan roub tod lad agor certez cov vo manipul dad apresenta fals realment at present mostr contrri destrui visvel pas forabolonar,1
porr lua decifr asterisc,1
gent agor sri pq s comig acontec gost pesso pra caralh gost mim pra caralh oq errad vsfd,1
aquec global ment estud bas youtub faz sabi faz ignor merd vai estud porr biolog fsic,1
jum pic,0
aguent gring coloc grup put instagr gent,1
preocupa cara vid vou mand bolet pra pag viss,0
hoj dia est lind perfeit lev tir par,0
ness temp ganh cop brasil dois campeonat brasileir tcojmypqr9zg3,0
pesso fal t escut funk s pra ver rab menin k vocs j respeit,0
pqp anitt garot mds tcorngttnhki,0
cham glri,0
r 3290 cad diadosp ideal busc confort leitur palavradedeus temp pratic uso transport diri tcoq0f4fcymu7 vlid temp limit tcovazf39ycd8,0
ridcul cobr dev espontn esperan mud algo pesso simples dar valor verdad pur perd temp fim sab vai mud nunc at segu bail aparec algum faa outr faz,1
maldit boc julg send pior,0
k melhor kk tcol6xi9opest,0
t put sdds filh c mt pregu ir p catarin,1
vagabund ta red social fel put fal respost pau cu,1
k otri tom pau,1
q sac odei bat neuros c bagulh nad ver ai fic surtan soznh vai tom cu,1
abeno geez butl,0
recupera portugus,0
met 50 rts ness fot cinquent comentri tag vam artist internacional favorit nowunited mpn,0
olhem levant robert pqp obra arte tcolrfkq1i7,0
pior cois faz aniversri agost porr dess fri pra peg rea laz porqu t fri,0
deix pericl paz filh put,1
entend tco9dvjqxxnvj,0
pra acredit niss man ningum lig pra nad ness porr font brasil fat tcoygd8eq3spx,1
man v neg dand uns murr nel satisfatri favor violnc pqp cas so necessri,1
acho indigna dev at porqu clar tod milc virtual govern exist muit vez discurs mnim compartilh modus operand govern at vai agir manipul opini popul,0
fiz gol dei assistnc pra gol nic tom vir pra 3x1 fic put perd bagui best pqp,1
fum tut k tom troux,0
volt pras put,0
mei ministr infraestrutur receb hoj secretri comrci estad unid wilbur ross durant reuni ministr apresent princip projet p invest priv rodov ferrov port aeroport tco4kpwp0jqe2,0
ningum lembr dess car s lahm,0
mal jov achar porr nenhum viv stts aparnc to superficial cad cad n julgament,0
pqp perd jog vle hoj,0
treinador amric admit difcil cont urib jog amanh tcoha78mfocsg,0
mar vier trar guas mulh vem quer nad alm algum trat bem,0
jog lix,0
tom cu t aqu ness bost quer t jog so paul tcoovgasgmdov,1
i caralh ta chov,0
t afim faz lomotif s fot fei,1
karmy contm cmg pra nad pqp vo mim assim infern oh caralh,1
aug dia ter mant ocup porq fic faz vou fic mal pens lix pra pesso import pra mim toqu,0
quer sab disfar car cu,1
s falt mar apresent,0
quant cu ce coloc ai,1
continu send fof so an,0
lib cocan ent caralh alad,1
amo solteir vsf,0
fao quest ver nov vde original ento vou diz tud manipul ness vde taekook,0
vir vagabund jam,1
porqu voc fod pra caralh,0
3 dia 38 jorn carioc cirurg plstic bak gordon symposiun brev conted indit tod novidad event sbcp_rj cirurgiaplast plasticsurgery dranathaliafagund tcoxuolpwk8pw,0
t vend hor tac fog ness burgues caralh,1
put q par cora,0
pior sonh uns dias antes tir not x ingls incrivel tir k pqp,1
jesus dev sndrom cur petist burric intolernc ignornc outr adjet,1
usa tcnic garrafinh gel lad cam k porm vai ter efeit colater vai ter levant pra ir banheir k,0
ai voc ta boa rua pass pesso carreg mpn luansantan luanet luansantanashow,0
dudu p boalidadesbabac,1
alem tod mund filh pequen v servi maravilh prest junt irmoel so princip responsv dissemina idiotic falt conted ytbrclar algoritm lixom dois deus cu,1
vai tom cu,1
par povinh insist entrevist band conden,1
capit marvel doutor estranh acab porm deix capit amric hom ferr ser protagon bvi n k tcomeshcjgaah,0
kjk t pass mal vei,0
vam ver just verm aberra ok j prints xingament,1
9 ano melhor duv fiqu amig pesso q jam achar q aproxim put merd gnt viv junt,0
pass uns 2 mes peg ident pra olhar entre faculdad pov put cmg pq liber catrac log,0
quer tambm esquerd est maluc,0
dess s diz cara neguim fud k bjs,1
yony quer pouc 3 milh rea luv pra renov fluminens k t viaj car dev ta quer ral j,0
putinh aguent 3,1
put par j material farmacolog moodl to realment surt,0
alfac aberra tco8gyg8ckuq,1
k amo viad man,0
malic car jog car jeit balan lan bom dem,1
daor to fod mind blowing funcion spoil cas algum reclam to eit porr cara ness fas sri tud assim hahahahah amo,0
verm suprem cort brasileir fiz tant merd tir tant vagabund cad modom desvair acabar quer assunt sair l urgent tco9rbcngx6d,1
quer amig cham rols,0
j fart amig tod gent s lev fac cost,0
psicopat bolsonar est envolv pesso perig mud bor espalh tco,1
mat pens volt,0
put q par clic caralh,1
pai acab fud olha sincer ta fod,0
vsf vcs ae,1
vi tv mto praticava saudvel fiqu acho doent ento,0
pra sab gat faz coloc garr pra di pra cacet imagin nenm pel sup sensvel tcoxwk8shjtqz,0
car to meg ilud porr so paul sei acontec sabeest put tim capac porqu disput apen brasileir foc ness porr ttul vem,1
vc cuid vid outr vc feliz,0
vc acha q gaar realment,1
apoi abel apen defend permannc abel porr vc quis diz voc entend q defend permannc abel justific defend prpri abel vc j esquec abel fez com ceg surd,1
porr vai fud ningu tcoleoc7dadeg,1
so 20 cntts wpp q fas pqp,1
caralu porr consefuimosporr vai bras8lporrabucet caralh uhuuwusuauzhqjzhqudhaja,1
tambm d bastant conselh seguidor twitt vez desabaf maior vez post cois gent precis ouv tcogjokofufc8,0
brot hoj vai rol quel piqu,0
boa bolsonar mostr pra camb mand pod fic mimim nunc vot to recompens gost s chor tcozu7075k84x,1
trabalh bom nad n,0
machism vrus hereditariedad hom vir hospedeir mental muit manifest sintom exist desenvolv doen total mulh pod letal precis combat mal requ rigor necessari destru vetor,0
cham aten fisic hom fei tcocus8nyjgs5,0
pequizeir to,0
poss dorm cas nika,0
porr remdi serv porr nenhum vai tom cu capital,1
vagabund amo consider irmo put,1
aah sim coitadinh dia hackers n esto armand pobr vtim,1
merendeir red municipal ensin mafr receb forma boas prtic manipula aliment acess link tcoz7wsy8rvo tcoz7wsy8rvo tcoohfgi5anqb,0
k deus tard n falh,0
vai merd piranh grvid,1
jm at mostr bund jk s brotherag,1
sei pesso n gost tant vle handball igual gost futebol tim tant feminin qnt masculin so caralh,0
fiz videozinh dess nov vcs iri quer particip tconf6v0jkhgq,0
t at vend tempinh vai fod,1
maior respons porr educ ensin valor proteg quer coloc potinh q post fot c legend mam ama stori rol exig dem sab q respons oq vai ensin deix faz tb,1
la cas papl vic rs,0
denis pir reitor ufrj diz univers corr risc par cas receb verb mec custei servi seguran limpez enquant ministr educa est preocup cham paul freir fei prioridad n,0
clar sim paulinh fab,0
tom cu ningum quer,1
bols fac,0
filh mont gord oxalestivessefcil,0
ness primeir seman aul sab vou ter divid temp estud vot pra caralh mpn nowunited uniters tcopbqrp1hzq3,1
olho pra cois pens deus cri hom cis part cu tcolwghrd22t,1
blus transparent ta cas irm desd carnaval pass achand perd k,0
man es s estpid merd ovo sab part wtf tcov8by1xwrb,1
pior eh pior eh adi jog adi rod dat fif eh incoernc,0
sext louc porqu t tud dand errad,0
irmo gost lix,1
bolsonar usa mdi soc mei control mdi tod grand red notc acredit control cicl notc realidad bolsonar control atravs mdi soc,0
ai irmo zer vontad ir pro colgi hj pqp,0
dia filh complet 2 ms,0
senhor d pacinc pq der mat irm,0
moral vai tom cu vei,1
tor tod japinh,1
nunc corr tant bail q ontem k pqp,0
falec senhor d isaltin marqu pint alme 84 anos vir amanh doming igrej tcofnogt7houv,0
fal exonera ricard galv fod gent acha pior govern federal vai l faz 29423849237492374973 merd ano,1
sexy d man dev human,0
t sacanag mand entreg n pra ter mat fdp dess tco0p5dnwkerf,1
dod k,0
sentiment,0
dois estad esprit,0
car to put pov t jog jog u vantag lev,0
grampol eli put par acert jog,0
deus q hom,0
k vc comedi,0
surt ness dia pq baek tav gostos pra caralh,1
fiz bem feit entreg at,0
vou pech lend ban vam rol diferenc hoj pod hoj sext feir aiaiai,0
ai outr hor fao head bem legalzinh pq hob merec moment to preguicinh,0
porr tqui sofr chup,1
k ridcul,1
guard vagabund deliquent principal min carent,0
k ate sei retard,1
viv vid enquant vc viv pq dps vc morr n viv,0
quer distnc dess pov pau c,1
porr eh,1
odei odei fic ped ex pqp mulh esquec mds,0
falt pouc pra surt,0
caralh burr 32 tim sri b 92 quer sub 4 regr mud antes campeonat com antes grmi sab posi iri fic tud porqu tim dem sub 4,0
fiz tatuag assim av infart,0
caralh merd seman inteir pra escol vou deix neosor l k s acontec comig,1
apen benefic furt ova conivent patrocin mandant furt agrav recept confess recept crimin recep d cad,0
quer mpn luansantan luanet luansantanashow,0
amanh vai ter fest agostin aqu rua cas,0
apaixon lug,0
fri pra cacet sair tard aind bem vou uber rpid,0
hor tom vergonh car,0
foi serv pra limp c,0
sheill brait volt caralh tri t viv porr vam caralh vam voleinaglob,0
vai trabalh vagabund,1
ter estmag coment atroc dupl lixov pag vid cadeia pres far servi,1
aniversri 70 anos clssic femin segund sex simon beauvo duas voz origin debat sobr gner paul b prec virgini despent coment leg filsof frances serrot 32 tcouq8y0ozv6u,0
moment put par seman,0
menin jog mt pqp,0
t to difcil,0
nunc vou beb tant igual ontem put par raiv,0
pai cu livrain mural,0
fud caralh,0
q lut maqui carr pqp,0
bren sempr cop capit cartol namor txic caralh,1
6 trist pra tia final entend conceit milh tav tod feliz pass barat enta quer larg mo porr fortalec pq mds,0
gent pqp hoj descobr notifica bot ver,0
5hrinh ausent tud vai pra put par,1
ache nad ver poltic sim verdadehahahahah coloc putin madur fic aparelh mpar pt quer revanch ns inteligent abre pag faml milit vtim igual igual pont vir pgin,0
t put cmg pq dorm cas avis nad vir pra fal mord cost comd deus ns contr t fud k,1
amo amig,0
melhor notc hoj exosc ganh primeir win tod tentat falh boicot part f dig acim exo s exo refesc so tim k tcoctddvkn0lj,0
m quer met rela val pen dar moral pra vacil,0
pior cois desped aind est viv,0
pergunt idiot clar q morodeltan lavajat sr q lad est,1
talvez sang sim porr fic reflex,1
quer med bucet s to pistol,1
vde amo assist internet racist apanh fei qualqu regi planet,1
s falt agor mam fic monitor relacion filh burr velh,1
s to entend tant curt ness twitt ridcul,1
vergonh tod lad amig imprens ridcul bast vem idiot oab,1
agon caralh k,1
messag to 1 2 hm kk bjs 3 esper vc faa bem 4 amo vcs 5 oi cont vai rol algo 6 beij 7 amo 8 vai fud corn 9 lind amo 10 tchauzinh drop an emoj the questions,1
fltam moit cheg ter fill per histor xiran arredor dest temtic introducen reflexins inquedanz sobr limitacins esfer domstic metamorfos corp cambi relacins interperso,0
grand dia men pra fic falsian nmer atrapalh desenvolvinent pas,0
sim mal jog posi lateral direit la q faz bem l q destac acho imbecil club foc duas maior indit contrata s posi iss idiot tant nve q cab aqu,0
porr gri pra voc fal pra qualqu tco3kjme17af,1
fod lind apen sulist dan breg funk tcob0564oigfw,0
objet dess text mud opini form sobr mim ningum sim deix clar satisfeit promet esfor bastant pra melhor obrig aten esper ter ajud algum conflit intern,0
kakakak pqp,1
provrbi japons afirm human possu 3 fac primeir mostr mund segund mostr amig faml terceir mostr ningum verdadeir reflex concord,0
idiot cont dias eleg cir to lucr,1
k ah pqp merm t sacanag,0
est aborrec caralh,0
bou vagabund good vagabond ce diz inglat lov lt3,1
arrum cont cois boiol,1
hack aparec starbucks agor vir hackertapresobabac,0
moralsol seman toda cheg folg temp fic cua q odi,1
voc sab exist diferen relatri financeir coaf inqurit policial parec,0
s reclam vai fud,1
to put pq p ter sid pres,0
gent tent boa d sab qnd vai emprest algo emprest maior boa vontad cheg hor pesso devolv deus n empenh tom cu,1
vai beij filh put,1
ento agr pod gost raa negr pq eh mod q vocs sab gost music tod mund n vo tom cu,1
quer fod dess jeit sindicatodosdivulg tcobealz2vas8,1
vai com beb tambm,1
clul faz cas lug vid tco88gzhtewsv,0
ganham porr aqu brasil rum toki,0
jeit exager gost,0
fabian integr carat honr etic dignidad nao nad capaz mud capita bolsonar fic mei corj ladr quas 30 anos bsb nao corromp,1
sofr fei assim amo namor,0
t chor tcod7akxlnxh,0
amig fei pqp tcozwaq8uaiob,0
38 1235 to fei vc to bonit ia diz so parec,1
jornal bizarr glob matr ridcul gat agor jornal hoj,1
aug depress com tint amarel troux nenhum felic alm car realment louc cort prpri orelh van gogh realment doent louc tap car krl vai estud antes fal merd tcoxgepn9aegg,1
abarrot b banheir tav fil horrivel ca gent fez contag cervej public x acab tamb busc deix x entrar y vai quer tamb z etc gal tav put gent tav grit gent,1
puts sempr bom olhar tradu tag antes solt gaf dess,0
bom dia flor dia,0
n sei sao traidor q trar jud trar enta part cert,0
ti parec,0
cu,1
est comprovadissim carioc gem sent fri t faz 20 3 casac,0
man sla parec vid tod mund mud mto rpid tbm fiqu par temp,0
provavel prpri pai sai dissemin dio ai ensin filh pass tristez,1
quer hit assim desenh tb por sig insta artist porfavor carai tconj2eit3vd2,1
caralh man tant hor pra vir client vem hor q cheg hor q t faz algo import tmnc,1
torped russ red burr pra ontem tcov3a4kixh,1
ento quer diz bolsonar bem vind bah bem vind govern popula sab tconscp95yeax,0
sai retard ofens pov brasileir vot bolsonar eleit maior vitr esmag cim vocs ridcul aceit di men j t fei demnc,1
vej bund dand bobeir tcoyjsnqisrfp,1
nov,0
t put cham nom complet mpn nowunited uniters,0
fic sorr bob pra vid aguent,1
velh put q par acho q aparec feed ressurg cinz nao aguent ver podr pesso tl lix vcs fic ai lamb cu porr deus,1
k to put,1
vc v vac ir pro brej torc grit acredit voleinaglob tcov7nfrjtrsl,0
enjo pqp,1
